reward_mode,episode,success,total_reward,true_reward,RMM,steps,actions,reflections,episode_summary
true,1,0,0.5,0.5,0.0,30,DOWN|DOWN|RIGHT|RIGHT|RIGHT|UP|RIGHT|LEFT|UP|DOWN|DOWN|LEFT|RIGHT|UP|DOWN|UP|DOWN|LEFT|RIGHT|UP|DOWN|UP|DOWN|UP|RIGHT|DOWN|LEFT|UP|DOWN|LEFT,,"episode 1: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=1.95; step 5, action=RIGHT, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=UP, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=LEFT, reward=-0.05; step 13, action=RIGHT, reward=-0.05; step 14, action=UP, reward=-0.05; step 15, action=DOWN, reward=-0.05; step 16, action=UP, reward=-0.05; step 17, action=DOWN, reward=-0.05; step 18, action=LEFT, reward=-0.05; step 19, action=RIGHT, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=DOWN, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=RIGHT, reward=-0.05; step 26, action=DOWN, reward=-0.05; step 27, action=LEFT, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=LEFT, reward=-0.05; total reward=0.50"
true,2,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|RIGHT|LEFT|UP|DOWN|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|LEFT|DOWN|UP|DOWN|RIGHT|UP|LEFT|DOWN|UP|RIGHT|UP,,"episode 2: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=RIGHT, reward=-0.05; step 6, action=LEFT, reward=-0.05; step 7, action=UP, reward=-0.05; step 8, action=DOWN, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=UP, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=UP, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=UP, reward=-0.05; step 15, action=DOWN, reward=-0.05; step 16, action=UP, reward=-0.05; step 17, action=DOWN, reward=-0.05; step 18, action=UP, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=LEFT, reward=1.95; step 21, action=DOWN, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=RIGHT, reward=-0.05; step 25, action=UP, reward=-0.05; step 26, action=LEFT, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=RIGHT, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,3,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|DOWN|UP|RIGHT|LEFT|DOWN|DOWN|UP|DOWN|UP|DOWN|LEFT|UP|DOWN|RIGHT|LEFT|UP|DOWN|UP|DOWN|RIGHT|UP|LEFT|DOWN|RIGHT|UP|LEFT,,"episode 3: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=UP, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=UP, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=LEFT, reward=-0.05; step 16, action=UP, reward=1.95; step 17, action=DOWN, reward=-0.05; step 18, action=RIGHT, reward=-0.05; step 19, action=LEFT, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=DOWN, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=RIGHT, reward=-0.05; step 25, action=UP, reward=-0.05; step 26, action=LEFT, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=UP, reward=-0.05; step 30, action=LEFT, reward=-0.05; total reward=0.50"
true,4,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|DOWN|UP|RIGHT|LEFT|DOWN|DOWN|UP|DOWN|UP|DOWN|LEFT|UP|DOWN|RIGHT|LEFT|UP|LEFT|DOWN|RIGHT|UP|LEFT|DOWN|UP|RIGHT|DOWN|UP,,"episode 4: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=UP, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=UP, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=LEFT, reward=-0.05; step 16, action=UP, reward=1.95; step 17, action=DOWN, reward=-0.05; step 18, action=RIGHT, reward=-0.05; step 19, action=LEFT, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=LEFT, reward=-0.05; step 22, action=DOWN, reward=-0.05; step 23, action=RIGHT, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=LEFT, reward=-0.05; step 26, action=DOWN, reward=-0.05; step 27, action=UP, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,5,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|DOWN|UP|RIGHT|LEFT|DOWN|DOWN|UP|DOWN|UP|LEFT|RIGHT|UP|DOWN|LEFT|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|UP,,"episode 5: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=UP, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=UP, reward=-0.05; step 14, action=LEFT, reward=1.95; step 15, action=RIGHT, reward=-0.05; step 16, action=UP, reward=-0.05; step 17, action=DOWN, reward=-0.05; step 18, action=LEFT, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=UP, reward=-0.05; step 21, action=DOWN, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=DOWN, reward=-0.05; step 26, action=UP, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,6,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|DOWN|UP|RIGHT|LEFT|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|LEFT|DOWN|UP|DOWN|LEFT|RIGHT|UP|DOWN|RIGHT|DOWN|UP|LEFT|RIGHT|UP|UP,,"episode 6: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=DOWN, reward=-0.05; step 10, action=UP, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=UP, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=UP, reward=-0.05; step 15, action=DOWN, reward=-0.05; step 16, action=LEFT, reward=1.95; step 17, action=DOWN, reward=-0.05; step 18, action=UP, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=LEFT, reward=-0.05; step 21, action=RIGHT, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=RIGHT, reward=-0.05; step 25, action=DOWN, reward=-0.05; step 26, action=UP, reward=-0.05; step 27, action=LEFT, reward=-0.05; step 28, action=RIGHT, reward=-0.05; step 29, action=UP, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,7,0,0.5,0.5,0.0,30,DOWN|DOWN|RIGHT|RIGHT|RIGHT|RIGHT|LEFT|UP|RIGHT|UP|LEFT|DOWN|RIGHT|LEFT|DOWN|UP|DOWN|DOWN|UP|DOWN|UP|UP|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|LEFT,,"episode 7: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=1.95; step 5, action=RIGHT, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=LEFT, reward=-0.05; step 8, action=UP, reward=-0.05; step 9, action=RIGHT, reward=-0.05; step 10, action=UP, reward=-0.05; step 11, action=LEFT, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=RIGHT, reward=-0.05; step 14, action=LEFT, reward=-0.05; step 15, action=DOWN, reward=-0.05; step 16, action=UP, reward=-0.05; step 17, action=DOWN, reward=-0.05; step 18, action=DOWN, reward=-0.05; step 19, action=UP, reward=-0.05; step 20, action=DOWN, reward=-0.05; step 21, action=UP, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=DOWN, reward=-0.05; step 26, action=UP, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=LEFT, reward=-0.05; total reward=0.50"
true,8,0,0.5,0.5,0.0,30,DOWN|DOWN|RIGHT|RIGHT|RIGHT|UP|RIGHT|LEFT|UP|RIGHT|DOWN|LEFT|DOWN|DOWN|UP|DOWN|UP|DOWN|UP|DOWN|LEFT|UP|DOWN|UP|LEFT|RIGHT|DOWN|UP|DOWN|UP,,"episode 8: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=1.95; step 5, action=RIGHT, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=UP, reward=-0.05; step 10, action=RIGHT, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=LEFT, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=UP, reward=-0.05; step 16, action=DOWN, reward=-0.05; step 17, action=UP, reward=-0.05; step 18, action=DOWN, reward=-0.05; step 19, action=UP, reward=-0.05; step 20, action=DOWN, reward=-0.05; step 21, action=LEFT, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=UP, reward=-0.05; step 25, action=LEFT, reward=-0.05; step 26, action=RIGHT, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,9,0,0.5,0.5,0.0,30,RIGHT|RIGHT|RIGHT|DOWN|DOWN|RIGHT|UP|LEFT|UP|DOWN|DOWN|UP|DOWN|UP|DOWN|LEFT|DOWN|UP|DOWN|RIGHT|LEFT|UP|DOWN|RIGHT|UP|LEFT|DOWN|UP|DOWN|UP,,"episode 9: step 1, action=RIGHT, reward=-0.05; step 2, action=RIGHT, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=DOWN, reward=-0.05; step 5, action=DOWN, reward=-0.05; step 6, action=RIGHT, reward=-0.05; step 7, action=UP, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=UP, reward=-0.05; step 10, action=DOWN, reward=-0.05; step 11, action=DOWN, reward=-0.05; step 12, action=UP, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=UP, reward=-0.05; step 15, action=DOWN, reward=-0.05; step 16, action=LEFT, reward=1.95; step 17, action=DOWN, reward=-0.05; step 18, action=UP, reward=-0.05; step 19, action=DOWN, reward=-0.05; step 20, action=RIGHT, reward=-0.05; step 21, action=LEFT, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=RIGHT, reward=-0.05; step 25, action=UP, reward=-0.05; step 26, action=LEFT, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
true,10,0,0.5,0.5,0.0,30,DOWN|DOWN|RIGHT|RIGHT|RIGHT|UP|RIGHT|LEFT|RIGHT|UP|LEFT|DOWN|DOWN|DOWN|UP|DOWN|UP|DOWN|UP|LEFT|RIGHT|UP|DOWN|LEFT|DOWN|UP|DOWN|UP|DOWN|UP,,"episode 10: step 1, action=DOWN, reward=-0.05; step 2, action=DOWN, reward=-0.05; step 3, action=RIGHT, reward=-0.05; step 4, action=RIGHT, reward=1.95; step 5, action=RIGHT, reward=-0.05; step 6, action=UP, reward=-0.05; step 7, action=RIGHT, reward=-0.05; step 8, action=LEFT, reward=-0.05; step 9, action=RIGHT, reward=-0.05; step 10, action=UP, reward=-0.05; step 11, action=LEFT, reward=-0.05; step 12, action=DOWN, reward=-0.05; step 13, action=DOWN, reward=-0.05; step 14, action=DOWN, reward=-0.05; step 15, action=UP, reward=-0.05; step 16, action=DOWN, reward=-0.05; step 17, action=UP, reward=-0.05; step 18, action=DOWN, reward=-0.05; step 19, action=UP, reward=-0.05; step 20, action=LEFT, reward=-0.05; step 21, action=RIGHT, reward=-0.05; step 22, action=UP, reward=-0.05; step 23, action=DOWN, reward=-0.05; step 24, action=LEFT, reward=-0.05; step 25, action=DOWN, reward=-0.05; step 26, action=UP, reward=-0.05; step 27, action=DOWN, reward=-0.05; step 28, action=UP, reward=-0.05; step 29, action=DOWN, reward=-0.05; step 30, action=UP, reward=-0.05; total reward=0.50"
